Date,Value
202001,65.6
202002,65.2
202003,65.9
202004,65.8
202005,65.3
202006,65.2
202007,65.3
202008,65.2
202009,64.7
202010,64.7
202011,65.3
202012,64.9
202101,64.6
202102,64.3
202103,63.9
202104,63.9
202105,64
202106,64
202107,63.8
202108,63.8
202109,63.8
202110,63.8
202111,63.3
202112,64.2
202201,64
202202,64.3
202203,64.1
202204,64.2
202205,64.5
202206,64.8
202207,65
202208,64.9
202209,64.9
202210,64.4
202211,64.7
202212,64
202301,64.6
202302,65.2
202303,65.3
202304,65.3
202305,65.1
202306,64.8
202307,64.7
202308,64.9
202309,65.1
202310,65.4
202311,65.4
202312,65.3
202401,64.7
202402,64.4
202403,64.3
202404,64.4
202405,64.7
202406,64.9
202407,65
202408,64.9
202409,64.9
202410,65
202411,65.6
202412,65.5
