Date,Value
202001,31
202002,29.9
202003,28.7
202004,28.6
202005,28.6
202006,28.3
202007,27.9
202008,28
202009,27.8
202010,27.6
202011,27.2
202012,27.5
202101,28.9
202102,28.9
202103,28.6
202104,28.3
202105,28.1
202106,28.1
202107,28.2
202108,27.9
202109,27.7
202110,27.6
202111,26.8
202112,26.5
202201,25.8
202202,26.4
202203,27.1
202204,27.1
202205,27.1
202206,27.3
202207,27.2
202208,27.3
202209,27.6
202210,27.6
202211,28.6
202212,28.6
202301,29.3
202302,29.1
202303,28.9
202304,28.2
202305,28.2
202306,27.9
202307,28.2
202308,28.4
202309,28.3
202310,28.2
202311,28.6
202312,28.4
202401,27.8
202402,28.2
202403,28.3
202404,29.2
202405,29.1
202406,29.3
202407,29
202408,28.7
202409,28.8
202410,28.8
202411,28.2
202412,28.9
