Date,Value
202001,60.4
202002,60.8
202003,60.7
202004,60.6
202005,61.5
202006,61.6
202007,61.7
202008,61.9
202009,62
202010,62.5
202011,62.6
202012,62.6
202101,62.5
202102,62.6
202103,62.4
202104,62.6
202105,62.4
202106,62.7
202107,62.6
202108,62.2
202109,62.1
202110,61.6
202111,61.8
202112,62.1
202201,62.2
202202,62
202203,62.2
202204,62.1
202205,62.2
202206,62
202207,62.1
202208,62
202209,62.1
202210,62.3
202211,61.5
202212,61.2
202301,61
202302,60.8
202303,60.4
202304,60.2
202305,60.1
202306,59.5
202307,59.8
202308,60
202309,59.8
202310,60
202311,60.5
202312,60.7
202401,60.9
202402,61.3
202403,61.5
202404,61.5
202405,61.5
202406,62.1
202407,62
202408,62.1
202409,62.3
202410,62.6
202411,62.2
202412,62.4
