Date,Value
202001,61.5
202002,61.4
202003,62
202004,61.8
202005,61.5
202006,61.6
202007,61.8
202008,61.6
202009,60.9
202010,60.8
202011,61.4
202012,61.2
202101,60.9
202102,60.1
202103,60
202104,60
202105,60
202106,60
202107,59.9
202108,60.1
202109,60.3
202110,60.8
202111,60.5
202112,61.4
202201,61.1
202202,61.7
202203,61.5
202204,61.6
202205,62
202206,62.1
202207,62.5
202208,62.4
202209,62.3
202210,62
202211,62
202212,61.2
202301,61.8
202302,62.4
202303,62.4
202304,62.5
202305,62.4
202306,62.3
202307,62
202308,62.2
202309,62.3
202310,62.5
202311,62.7
202312,62.9
202401,62.1
202402,62.3
202403,62.5
202404,62.8
202405,63
202406,63.1
202407,63
202408,62.9
202409,62.7
202410,62.9
202411,63.3
202412,63.3
