Date,Value
202001,58.3
202002,59.1
202003,59
202004,58.9
202005,59.4
202006,59.3
202007,59.4
202008,59.6
202009,60
202010,60.6
202011,60.4
202012,60.5
202101,60.5
202102,60.4
202103,60.4
202104,60.5
202105,60.5
202106,60.9
202107,61.2
202108,61
202109,60.9
202110,60.2
202111,60.5
202112,60.4
202201,60.4
202202,60.4
202203,60.8
202204,60.6
202205,60.4
202206,60.2
202207,60
202208,60.1
202209,60.3
202210,60.7
202211,60.1
202212,60.1
202301,59.8
202302,59.4
202303,58.6
202304,58.6
202305,58.6
202306,58.1
202307,58.3
202308,58
202309,57.6
202310,57.4
202311,57.9
202312,58.3
202401,58.5
202402,58.8
202403,59.2
202404,59.2
202405,59.3
202406,59.9
202407,60.1
202408,60.1
202409,60.5
202410,60.8
202411,60.5
202412,60.5
