Date,Value
202001,45.4
202002,45.5
202003,45.9
202004,45.8
202005,46.4
202006,46.8
202007,46.8
202008,46.9
202009,46.6
202010,47.1
202011,47.4
202012,47.3
202101,47.2
202102,47.1
202103,46.8
202104,46.8
202105,46.6
202106,46.6
202107,46.7
202108,46.5
202109,46.8
202110,46.8
202111,47
202112,47.5
202201,47.5
202202,47.5
202203,47.4
202204,47.5
202205,47.6
202206,47.4
202207,47.5
202208,47.5
202209,47.5
202210,47.5
202211,46.8
202212,46.2
202301,45.9
202302,45.9
202303,45.5
202304,45.3
202305,45.4
202306,45
202307,44.9
202308,44.9
202309,44.8
202310,44.8
202311,45.2
202312,45.6
202401,45.7
202402,46.3
202403,46.8
202404,47.1
202405,46.9
202406,47.4
202407,47.3
202408,47.3
202409,47.4
202410,47.9
202411,47.5
202412,47.7
