Date,Value
202001,50.3
202002,50.6
202003,51.1
202004,50.7
202005,50.6
202006,50.8
202007,50.9
202008,51
202009,51.1
202010,51
202011,51.6
202012,51.8
202101,51.5
202102,51
202103,50.8
202104,51.2
202105,51.3
202106,51.4
202107,51
202108,51
202109,51.2
202110,51.5
202111,51.1
202112,51.4
202201,51
202202,51.1
202203,51.1
202204,51
202205,51.3
202206,51
202207,51.3
202208,51.4
202209,51.3
202210,50.9
202211,51.3
202212,51
202301,52.1
202302,52.3
202303,52.3
202304,52.6
202305,52.3
202306,52.2
202307,52.3
202308,51.8
202309,52
202310,52.3
202311,51.8
202312,52.2
202401,51.7
202402,51.7
202403,52
202404,51.8
202405,52.1
202406,52.5
202407,52.4
202408,52.5
202409,52.3
202410,52.2
202411,52.7
202412,52.1
