Date,Value
202001,57.9
202002,58.1
202003,58.7
202004,58.1
202005,57.6
202006,57.6
202007,57.6
202008,57.7
202009,57.5
202010,57.3
202011,58
202012,58
202101,57.7
202102,57.1
202103,57
202104,57.3
202105,57.5
202106,57.5
202107,57.2
202108,57.2
202109,57.3
202110,57.6
202111,57
202112,57.4
202201,57
202202,57.3
202203,57.3
202204,57.1
202205,57.3
202206,57.1
202207,57.2
202208,57.3
202209,57.3
202210,56.7
202211,57.1
202212,56.5
202301,57.5
202302,57.8
202303,57.6
202304,58.1
202305,57.8
202306,57.6
202307,57.5
202308,57.3
202309,57.3
202310,57.6
202311,57.3
202312,57.8
202401,57.3
202402,57
202403,57.2
202404,56.9
202405,57.2
202406,57.6
202407,57.6
202408,57.6
202409,57.5
202410,57.4
202411,57.8
202412,57.3
