Date,Value
202001,73.5
202002,73.1
202003,73.6
202004,73.7
202005,73.5
202006,73.4
202007,73.4
202008,73.4
202009,73.3
202010,73.3
202011,73.8
202012,73.2
202101,73
202102,73
202103,72.7
202104,72.4
202105,72.5
202106,72.4
202107,72.4
202108,72.3
202109,72.2
202110,72.1
202111,71.5
202112,72.2
202201,72.1
202202,72.1
202203,72.1
202204,72.3
202205,72.4
202206,72.5
202207,72.7
202208,72.7
202209,72.7
202210,72.4
202211,72.9
202212,72.5
202301,72.9
202302,73.2
202303,73.3
202304,73.4
202305,73.2
202306,73.1
202307,73.2
202308,73.4
202309,73.4
202310,73.5
202311,73.3
202312,73.3
202401,73
202402,72.4
202403,72.4
202404,72.1
202405,72.4
202406,72.6
202407,72.6
202408,72.5
202409,72.6
202410,72.7
202411,73
202412,72.9
