Date,Value
202001,67.7
202002,67.9
202003,68
202004,68
202005,67.9
202006,67.9
202007,67.8
202008,67.7
202009,67.6
202010,67.5
202011,67.5
202012,67.5
202101,67.5
202102,67.5
202103,67.4
202104,67.2
202105,67.2
202106,67.1
202107,67.1
202108,66.9
202109,66.9
202110,66.7
202111,66.7
202112,66.5
202201,66.5
202202,66.6
202203,66.8
202204,67
202205,67
202206,67
202207,67
202208,67
202209,67.1
202210,67.2
202211,67.2
202212,67.3
202301,67.3
202302,67.2
202303,67.2
202304,67.1
202305,67
202306,67
202307,67
202308,67
202309,67
202310,66.9
202311,66.9
202312,66.9
202401,66.9
202402,66.8
202403,66.6
202404,66.6
202405,66.7
202406,66.8
202407,66.7
202408,66.7
202409,66.7
202410,66.7
202411,66.6
202412,66.7
