Date,Value
202001,43.1
202002,43.3
202003,43.5
202004,43.4
202005,43.5
202006,43.4
202007,43.4
202008,43.5
202009,43.8
202010,44.5
202011,44.4
202012,44.3
202101,44.3
202102,44.2
202103,44.2
202104,44.2
202105,44.2
202106,44.9
202107,45.5
202108,45.2
202109,45.1
202110,45.1
202111,45.4
202112,45.4
202201,45.2
202202,45.1
202203,45.2
202204,44.8
202205,44.6
202206,43.9
202207,43.7
202208,44.2
202209,44.5
202210,44.7
202211,43.8
202212,43.5
202301,43.5
202302,43.4
202303,42.7
202304,42.8
202305,43.4
202306,43.4
202307,43.4
202308,43.1
202309,42.7
202310,42.5
202311,43.2
202312,43.8
202401,44
202402,44.6
202403,45.1
202404,45.4
202405,44.8
202406,45.1
202407,45.2
202408,45.2
202409,45.4
202410,45.6
202411,45.4
202412,45.5
