Date,Value
202001,52.6
202002,52.9
202003,53.4
202004,53.2
202005,53
202006,53.3
202007,53.3
202008,53.3
202009,52.8
202010,52.6
202011,53.5
202012,53.3
202101,53.1
202102,52.2
202103,52.3
202104,52.6
202105,52.6
202106,52.7
202107,52.4
202108,52.7
202109,53
202110,53.7
202111,53.2
202112,53.8
202201,53.2
202202,53.8
202203,53.5
202204,53.3
202205,53.6
202206,53.6
202207,53.7
202208,53.5
202209,53.3
202210,52.7
202211,52.9
202212,52.1
202301,53.1
202302,53.8
202303,53.6
202304,53.9
202305,53.8
202306,53.6
202307,53.6
202308,53.6
202309,53.7
202310,54
202311,54
202312,54.7
202401,54.1
202402,54.5
202403,55
202404,55.1
202405,55.3
202406,55.5
202407,55.4
202408,55.5
202409,55.5
202410,55.7
202411,56
202412,55.5
