Date,Value
202001,53
202002,53.1
202003,53.7
202004,53.4
202005,53.2
202006,53.3
202007,53.4
202008,53.3
202009,52.9
202010,52.7
202011,53.5
202012,53.3
202101,53
202102,52.2
202103,52.3
202104,52.6
202105,52.6
202106,52.6
202107,52.4
202108,52.6
202109,52.9
202110,53.5
202111,52.9
202112,53.5
202201,53
202202,53.5
202203,53.3
202204,53.1
202205,53.5
202206,53.5
202207,53.6
202208,53.5
202209,53.3
202210,52.7
202211,52.9
202212,52.2
202301,53.2
202302,53.9
202303,53.7
202304,53.9
202305,53.7
202306,53.5
202307,53.4
202308,53.3
202309,53.4
202310,53.7
202311,53.6
202312,54.3
202401,53.6
202402,53.7
202403,54.2
202404,54.3
202405,54.7
202406,55
202407,54.9
202408,55.1
202409,55.2
202410,55.3
202411,55.6
202412,55.2
