Date,Value
202001,47.2
202002,48
202003,48.8
202004,48.5
202005,48.6
202006,48.9
202007,48.9
202008,49.1
202009,48.6
202010,48.5
202011,49.3
202012,49.2
202101,49.2
202102,48.2
202103,48.4
202104,48.6
202105,48.7
202106,48.7
202107,48.6
202108,48.7
202109,49.1
202110,49.8
202111,49.6
202112,50
202201,49.3
202202,50
202203,49.6
202204,49.1
202205,49.3
202206,49.1
202207,49.2
202208,49.1
202209,49
202210,48.6
202211,48.4
202212,47.5
202301,48.3
202302,48.7
202303,48.4
202304,48.9
202305,49
202306,49
202307,48.8
202308,48.8
202309,49
202310,49.3
202311,49.4
202312,50.5
202401,50.2
202402,51.1
202403,51.6
202404,51.8
202405,51.7
202406,51.8
202407,51.8
202408,51.7
202409,51.6
202410,51.9
202411,52
202412,51.5
