Date,Value
202001,54
202002,54.6
202003,55.3
202004,55.1
202005,55.2
202006,55.7
202007,55.7
202008,55.6
202009,54.9
202010,55
202011,55.7
202012,55.6
202101,55.6
202102,54.7
202103,54.7
202104,54.7
202105,54.7
202106,54.6
202107,54.5
202108,54.7
202109,55.3
202110,55.8
202111,55.7
202112,56.1
202201,55.8
202202,56.4
202203,56.1
202204,56.2
202205,56.4
202206,56.4
202207,56.7
202208,56.7
202209,56.6
202210,56.5
202211,56
202212,55.2
202301,55.4
202302,55.7
202303,55.6
202304,55.6
202305,55.7
202306,55.5
202307,55.3
202308,55.2
202309,55.3
202310,55.3
202311,55.6
202312,56.3
202401,55.8
202402,56.5
202403,56.9
202404,57.1
202405,57.1
202406,57.4
202407,57.3
202408,57.3
202409,57.1
202410,57.5
202411,57.6
202412,57.5
