Date,Value
202001,57.9
202002,57.7
202003,58.4
202004,58
202005,57.4
202006,57.5
202007,57.6
202008,57.5
202009,57
202010,56.8
202011,57.5
202012,57.1
202101,56.8
202102,56.2
202103,56.1
202104,56.2
202105,56.2
202106,56.3
202107,56.1
202108,56.2
202109,56.3
202110,56.6
202111,56.1
202112,57
202201,56.6
202202,57.1
202203,57
202204,57
202205,57.4
202206,57.5
202207,57.7
202208,57.5
202209,57.5
202210,56.9
202211,57.1
202212,56.3
202301,57.3
202302,57.9
202303,57.7
202304,57.9
202305,57.6
202306,57.3
202307,57.2
202308,57.2
202309,57.3
202310,57.6
202311,57.7
202312,58.1
202401,57.3
202402,57.3
202403,57.5
202404,57.7
202405,58.1
202406,58.4
202407,58.4
202408,58.5
202409,58.6
202410,58.6
202411,59
202412,58.8
