Date,Value
202001,68
202002,67.7
202003,68.5
202004,68.6
202005,68.4
202006,68.3
202007,68.4
202008,68.3
202009,67.9
202010,67.8
202011,68.4
202012,68.2
202101,67.9
202102,67.4
202103,67
202104,66.8
202105,66.7
202106,66.8
202107,66.7
202108,66.8
202109,66.7
202110,67
202111,66.5
202112,67.5
202201,67.3
202202,67.6
202203,67.3
202204,67.5
202205,67.9
202206,68.1
202207,68.3
202208,68.2
202209,68.3
202210,67.8
202211,67.9
202212,67.3
202301,67.9
202302,68.5
202303,68.9
202304,68.8
202305,68.6
202306,68.5
202307,68.6
202308,69.1
202309,69.4
202310,69.7
202311,69.7
202312,69.6
202401,68.9
202402,68.8
202403,68.7
202404,68.9
202405,69.1
202406,69.1
202407,68.9
202408,68.5
202409,68.3
202410,68.4
202411,69
202412,69.2
