Date,Value
202001,41.2
202002,41.6
202003,42
202004,41.9
202005,42.1
202006,42.4
202007,42.4
202008,42.5
202009,42.6
202010,42.5
202011,43.1
202012,43.5
202101,43.6
202102,43.4
202103,43.4
202104,43.9
202105,44
202106,44.2
202107,43.7
202108,44
202109,44.1
202110,44.6
202111,44.5
202112,44.2
202201,43.3
202202,43.4
202203,43.4
202204,43.2
202205,43.3
202206,42.9
202207,43.3
202208,43.2
202209,43
202210,43
202211,43.1
202212,43.4
202301,44.5
202302,44.4
202303,44.5
202304,44.6
202305,44.3
202306,44.3
202307,44.5
202308,44.2
202309,44.5
202310,44.7
202311,44.2
202312,44.3
202401,44
202402,44.5
202403,44.7
202404,44.6
202405,44.9
202406,45.3
202407,45.2
202408,45.4
202409,45.3
202410,45
202411,45.5
202412,45
