Date,Value
202001,57
202002,57.3
202003,57.9
202004,57.4
202005,56.8
202006,56.8
202007,56.9
202008,57
202009,56.7
202010,56.6
202011,57.3
202012,57.2
202101,56.9
202102,56.3
202103,56.2
202104,56.4
202105,56.6
202106,56.6
202107,56.4
202108,56.4
202109,56.6
202110,56.9
202111,56.4
202112,56.8
202201,56.5
202202,56.8
202203,56.8
202204,56.6
202205,56.8
202206,56.7
202207,56.8
202208,56.7
202209,56.7
202210,56
202211,56.3
202212,55.7
202301,56.7
202302,57
202303,56.9
202304,57.3
202305,57
202306,56.7
202307,56.8
202308,56.6
202309,56.7
202310,57.1
202311,56.8
202312,57.3
202401,56.8
202402,56.6
202403,56.9
202404,56.7
202405,57.2
202406,57.6
202407,57.7
202408,57.7
202409,57.6
202410,57.5
202411,57.9
202412,57.4
