Date,Value
202001,49.1
202002,49.4
202003,49.9
202004,49.5
202005,49.6
202006,49.8
202007,49.9
202008,50
202009,50.1
202010,50.1
202011,50.7
202012,50.9
202101,50.6
202102,50.2
202103,50.1
202104,50.5
202105,50.6
202106,50.7
202107,50.3
202108,50.4
202109,50.6
202110,50.9
202111,50.6
202112,50.8
202201,50.4
202202,50.6
202203,50.5
202204,50.5
202205,50.7
202206,50.4
202207,50.7
202208,50.8
202209,50.6
202210,50.2
202211,50.5
202212,50.3
202301,51.3
202302,51.5
202303,51.4
202304,51.7
202305,51.4
202306,51.3
202307,51.3
202308,50.9
202309,51.1
202310,51.4
202311,50.9
202312,51.3
202401,50.8
202402,50.9
202403,51.1
202404,50.9
202405,51.2
202406,51.6
202407,51.6
202408,51.7
202409,51.6
202410,51.3
202411,51.8
202412,51.2
