Date,Value
202001,44.8
202002,45.1
202003,45.7
202004,45.5
202005,45.7
202006,45.9
202007,46.1
202008,46.3
202009,45.9
202010,45.7
202011,46.5
202012,46.5
202101,46.4
202102,45.9
202103,46
202104,46.4
202105,46.5
202106,46.6
202107,46.3
202108,46.5
202109,46.8
202110,47.7
202111,47.3
202112,47.4
202201,46.6
202202,46.8
202203,46.3
202204,45.9
202205,46.2
202206,46
202207,46
202208,45.8
202209,45.7
202210,45.1
202211,45.3
202212,45.1
202301,46.1
202302,46.7
202303,46.8
202304,47.1
202305,46.9
202306,46.9
202307,46.9
202308,46.6
202309,46.7
202310,46.9
202311,46.7
202312,47.4
202401,47.1
202402,47.6
202403,48
202404,48.1
202405,48.4
202406,48.5
202407,48.5
202408,48.7
202409,48.9
202410,49
202411,49.4
202412,48.8
