Date,Value
202001,39.9
202002,40.7
202003,41.3
202004,41.1
202005,41.4
202006,41.7
202007,41.7
202008,42
202009,41.7
202010,41.4
202011,42
202012,42.4
202101,42.8
202102,42.1
202103,42.6
202104,42.8
202105,42.9
202106,43.1
202107,43.1
202108,43.2
202109,43.6
202110,44.7
202111,44.5
202112,44.3
202201,43.1
202202,43.1
202203,42.3
202204,41.7
202205,41.8
202206,41.4
202207,41.3
202208,41.2
202209,41
202210,40.7
202211,40.5
202212,40
202301,41
202302,41.6
202303,41.2
202304,41.4
202305,41.7
202306,42
202307,41.8
202308,41.8
202309,42.1
202310,42.1
202311,42.3
202312,43.8
202401,43.8
202402,45
202403,45.8
202404,46.3
202405,46
202406,45.7
202407,45.9
202408,45.8
202409,45.9
202410,46.3
202411,46.4
202412,45.5
