Date,Value
202001,65.5
202002,65.2
202003,66
202004,66
202005,65.7
202006,65.6
202007,65.7
202008,65.6
202009,65.2
202010,65.1
202011,65.8
202012,65.5
202101,65.2
202102,64.6
202103,64.2
202104,64.2
202105,64.1
202106,64.1
202107,64
202108,64
202109,64
202110,64.2
202111,63.7
202112,64.7
202201,64.5
202202,64.9
202203,64.6
202204,64.8
202205,65.2
202206,65.5
202207,65.7
202208,65.6
202209,65.6
202210,65.2
202211,65.4
202212,64.7
202301,65.4
202302,65.9
202303,66.1
202304,66.1
202305,65.9
202306,65.8
202307,65.8
202308,66.1
202309,66.4
202310,66.7
202311,66.8
202312,66.7
202401,65.9
202402,65.9
202403,65.8
202404,66
202405,66.2
202406,66.3
202407,66.3
202408,66.1
202409,65.9
202410,66
202411,66.6
202412,66.7
