Date,Value
202001,55.3
202002,55.5
202003,56.1
202004,55.8
202005,55.6
202006,55.8
202007,56
202008,55.9
202009,55.3
202010,55.2
202011,56
202012,55.8
202101,55.7
202102,54.8
202103,54.9
202104,55
202105,55
202106,55
202107,54.8
202108,55
202109,55.4
202110,55.9
202111,55.6
202112,56.3
202201,55.9
202202,56.5
202203,56.2
202204,56.1
202205,56.4
202206,56.5
202207,56.7
202208,56.6
202209,56.5
202210,56.1
202211,56
202212,55
202301,55.8
202302,56.4
202303,56.2
202304,56.5
202305,56.5
202306,56.4
202307,56.2
202308,56.2
202309,56.3
202310,56.5
202311,56.7
202312,57.4
202401,56.6
202402,57.1
202403,57.6
202404,57.8
202405,58
202406,58.1
202407,58
202408,57.9
202409,57.9
202410,58.1
202411,58.3
202412,58
