Date,Value
202001,39.8
202002,41.5
202003,42
202004,41.7
202005,42
202006,42
202007,42.1
202008,42.3
202009,42.4
202010,42.8
202011,43.1
202012,43.3
202101,43.6
202102,42.6
202103,42.9
202104,43.1
202105,43
202106,43.5
202107,44
202108,43.8
202109,43.9
202110,44.4
202111,44.7
202112,44
202201,43.7
202202,44.4
202203,44.2
202204,43.7
202205,43.7
202206,43.2
202207,42.9
202208,43.3
202209,43.5
202210,43.6
202211,42.5
202212,42.1
202301,42.1
202302,42.1
202303,41.3
202304,41.6
202305,42.3
202306,42.4
202307,42.3
202308,42.1
202309,41.9
202310,41.5
202311,42.5
202312,43.9
202401,43.5
202402,43.9
202403,44.5
202404,44.9
202405,44.3
202406,44.1
202407,44.3
202408,44.2
202409,44.4
202410,44.9
202411,44.6
202412,44.4
