Date,Value
202001,47.6
202002,48.6
202003,49.4
202004,49.1
202005,49.4
202006,49.8
202007,49.9
202008,50.1
202009,49.7
202010,49.8
202011,50.5
202012,50.6
202101,50.7
202102,49.6
202103,49.8
202104,49.8
202105,49.9
202106,49.9
202107,49.8
202108,49.9
202109,50.3
202110,50.8
202111,50.8
202112,51
202201,50.7
202202,51.6
202203,51.2
202204,51.2
202205,51.3
202206,51.2
202207,51.3
202208,51.3
202209,51.3
202210,51.2
202211,50.6
202212,49.7
202301,49.6
202302,49.6
202303,49.2
202304,49.3
202305,49.6
202306,49.5
202307,49.2
202308,49.1
202309,49.1
202310,49
202311,49.5
202312,50.4
202401,50.1
202402,51
202403,51.5
202404,51.7
202405,51.5
202406,51.6
202407,51.7
202408,51.6
202409,51.7
202410,52.1
202411,52
202412,52
