Date,Value
202001,50
202002,50.5
202003,50.5
202004,50.4
202005,51
202006,51.1
202007,51.2
202008,51.4
202009,51.8
202010,52.6
202011,52.5
202012,52.4
202101,52.3
202102,52.3
202103,52.1
202104,52.2
202105,52.1
202106,52.7
202107,53
202108,52.7
202109,52.6
202110,52.2
202111,52.5
202112,52.5
202201,52.6
202202,52.5
202203,52.8
202204,52.7
202205,52.5
202206,52
202207,51.9
202208,52
202209,52.2
202210,52.6
202211,51.7
202212,51.6
202301,51.2
202302,50.9
202303,50.1
202304,50
202305,50.3
202306,49.8
202307,49.8
202308,49.6
202309,49.1
202310,48.9
202311,49.4
202312,49.9
202401,50.3
202402,50.8
202403,51.3
202404,51.5
202405,51.3
202406,52.1
202407,52.1
202408,52.2
202409,52.6
202410,52.9
202411,52.6
202412,52.7
