Date,Value
202001,43.9
202002,44.1
202003,44.7
202004,44.5
202005,44.6
202006,44.8
202007,44.9
202008,45
202009,45.1
202010,45
202011,45.6
202012,45.9
202101,45.7
202102,45.4
202103,45.2
202104,45.6
202105,45.7
202106,45.9
202107,45.4
202108,45.6
202109,45.8
202110,46.2
202111,46
202112,46.1
202201,45.4
202202,45.6
202203,45.6
202204,45.5
202205,45.7
202206,45.3
202207,45.6
202208,45.6
202209,45.5
202210,45.2
202211,45.5
202212,45.4
202301,46.6
202302,46.7
202303,46.7
202304,46.9
202305,46.5
202306,46.5
202307,46.7
202308,46.3
202309,46.5
202310,46.8
202311,46.4
202312,46.7
202401,46.3
202402,46.6
202403,46.9
202404,46.7
202405,47.1
202406,47.4
202407,47.5
202408,47.6
202409,47.4
202410,47.1
202411,47.6
202412,47
