Date,Value
202001,54.8
202002,55.1
202003,55.7
202004,55.2
202005,54.9
202006,55
202007,55
202008,55.1
202009,54.9
202010,54.8
202011,55.5
202012,55.5
202101,55.2
202102,54.6
202103,54.4
202104,54.8
202105,54.9
202106,54.9
202107,54.7
202108,54.7
202109,54.9
202110,55.2
202111,54.7
202112,55.1
202201,54.7
202202,55
202203,55
202204,54.8
202205,55
202206,54.9
202207,55.1
202208,55.2
202209,55.1
202210,54.5
202211,54.8
202212,54.3
202301,55.4
202302,55.7
202303,55.6
202304,55.9
202305,55.6
202306,55.4
202307,55.4
202308,55
202309,55.1
202310,55.4
202311,55.1
202312,55.6
202401,55
202402,54.9
202403,55.2
202404,55
202405,55.3
202406,55.8
202407,55.9
202408,55.9
202409,55.8
202410,55.7
202411,56.2
202412,55.7
