Date,Value
202001,54.6
202002,54.6
202003,54.8
202004,54.8
202005,55.4
202006,55.7
202007,55.8
202008,55.8
202009,55.5
202010,55.9
202011,56.2
202012,56
202101,55.8
202102,55.7
202103,55.5
202104,55.4
202105,55.2
202106,55.3
202107,55
202108,54.7
202109,54.9
202110,54.8
202111,54.9
202112,55.4
202201,55.5
202202,55.3
202203,55.3
202204,55.4
202205,55.6
202206,55.6
202207,55.8
202208,55.8
202209,55.8
202210,55.6
202211,55
202212,54.6
202301,54.6
202302,54.7
202303,54.7
202304,54.4
202305,54.2
202306,54
202307,54.2
202308,54.4
202309,54.5
202310,54.8
202311,55.2
202312,55.3
202401,55.3
202402,55.7
202403,55.8
202404,55.9
202405,55.9
202406,56.4
202407,56.1
202408,56.1
202409,56
202410,56.3
202411,56.1
202412,56.3
