Date,Value
202001,45.9
202002,46.1
202003,46.8
202004,46.5
202005,46.5
202006,46.7
202007,46.8
202008,47
202009,47
202010,46.9
202011,47.6
202012,47.8
202101,47.5
202102,47.1
202103,46.9
202104,47.3
202105,47.3
202106,47.5
202107,47.1
202108,47.2
202109,47.4
202110,47.9
202111,47.5
202112,47.7
202201,47
202202,47.2
202203,47.1
202204,47
202205,47.3
202206,47
202207,47.2
202208,47.1
202209,47
202210,46.5
202211,46.9
202212,46.6
202301,47.8
202302,48.2
202303,48.1
202304,48.4
202305,48
202306,48
202307,48
202308,47.7
202309,47.8
202310,48.1
202311,47.7
202312,48.2
202401,47.9
202402,48.1
202403,48.5
202404,48.3
202405,48.8
202406,49.1
202407,49.2
202408,49.3
202409,49.4
202410,49.2
202411,49.6
202412,48.9
