Date,Value
202001,61.7
202002,61.6
202003,62.2
202004,61.9
202005,61.1
202006,61.1
202007,61.1
202008,61.1
202009,60.7
202010,60.6
202011,61.2
202012,60.8
202101,60.4
202102,60
202103,59.8
202104,59.9
202105,60
202106,60.1
202107,59.9
202108,59.9
202109,60
202110,60.1
202111,59.5
202112,60.2
202201,60.1
202202,60.4
202203,60.4
202204,60.4
202205,60.7
202206,60.8
202207,61
202208,60.9
202209,60.8
202210,60.3
202211,60.7
202212,59.9
202301,60.6
202302,61
202303,60.9
202304,61.1
202305,60.7
202306,60.3
202307,60.3
202308,60.3
202309,60.4
202310,60.7
202311,60.4
202312,60.8
202401,60.4
202402,60
202403,60.1
202404,60.2
202405,60.6
202406,61
202407,61
202408,60.9
202409,60.9
202410,60.9
202411,61.3
202412,61.1
