Date,Value
202001,38.3
202002,40
202003,40.7
202004,40.4
202005,40.6
202006,40.9
202007,41
202008,41.3
202009,41.2
202010,41.2
202011,41.7
202012,42.3
202101,42.9
202102,41.9
202103,42.4
202104,42.7
202105,42.7
202106,42.9
202107,43.2
202108,43.2
202109,43.6
202110,44.5
202111,44.6
202112,43.8
202201,42.8
202202,43.1
202203,42.3
202204,41.7
202205,41.7
202206,41.4
202207,41.1
202208,41.1
202209,41
202210,40.8
202211,40
202212,39.4
202301,39.8
202302,40.2
202303,39.1
202304,39.2
202305,39.8
202306,40.2
202307,39.9
202308,39.8
202309,39.9
202310,39.7
202311,40.3
202312,42
202401,41.9
202402,43
202403,44
202404,44.7
202405,44.2
202406,43.7
202407,44
202408,43.9
202409,44.1
202410,44.6
202411,44.4
202412,43.7
