Date,Value
202001,53
202002,53
202003,53.7
202004,53.3
202005,52.9
202006,53.1
202007,53.1
202008,53.2
202009,52.7
202010,52.5
202011,53.2
202012,53
202101,52.7
202102,52.1
202103,52.1
202104,52.4
202105,52.4
202106,52.5
202107,52.2
202108,52.4
202109,52.6
202110,53.1
202111,52.6
202112,53.2
202201,52.6
202202,53.1
202203,52.9
202204,52.7
202205,53.1
202206,53
202207,53.1
202208,52.9
202209,52.8
202210,52.1
202211,52.4
202212,51.7
202301,52.8
202302,53.5
202303,53.2
202304,53.5
202305,53.2
202306,52.9
202307,52.8
202308,52.7
202309,52.7
202310,53.1
202311,52.9
202312,53.5
202401,53
202402,53
202403,53.4
202404,53.6
202405,54.1
202406,54.5
202407,54.5
202408,54.7
202409,54.9
202410,55
202411,55.4
202412,54.9
