Date,Value
202001,60.2
202002,60.3
202003,61
202004,60.8
202005,60.8
202006,61.1
202007,61.2
202008,61
202009,60.2
202010,60.3
202011,60.9
202012,60.7
202101,60.5
202102,59.6
202103,59.5
202104,59.5
202105,59.3
202106,59.2
202107,59
202108,59.2
202109,59.7
202110,60.2
202111,60
202112,60.8
202201,60.6
202202,61.2
202203,60.9
202204,61.2
202205,61.6
202206,61.7
202207,62.3
202208,62.4
202209,62.3
202210,62.1
202211,61.8
202212,60.9
202301,61.4
202302,61.9
202303,61.9
202304,61.7
202305,61.5
202306,61.3
202307,60.9
202308,61
202309,61.1
202310,61.1
202311,61.4
202312,61.8
202401,61.1
202402,61.6
202403,61.9
202404,62.3
202405,62.4
202406,62.7
202407,62.7
202408,62.7
202409,62.5
202410,63
202411,63.2
202412,63.2
