Date,Value
202001,47.1
202002,47.7
202003,47.8
202004,47.8
202005,47.8
202006,47.7
202007,47.8
202008,47.8
202009,48.3
202010,49
202011,48.8
202012,48.8
202101,48.8
202102,48.6
202103,48.7
202104,48.7
202105,48.6
202106,49.2
202107,49.7
202108,49.6
202109,49.4
202110,49
202111,49.3
202112,49.2
202201,49.2
202202,49.4
202203,49.6
202204,49.1
202205,48.8
202206,48.2
202207,48
202208,48.4
202209,48.6
202210,49.1
202211,48.5
202212,48.3
202301,48.1
202302,47.8
202303,47.1
202304,47.3
202305,47.9
202306,47.9
202307,47.9
202308,47.7
202309,47.3
202310,47
202311,47.5
202312,48
202401,48.2
202402,48.6
202403,49.1
202404,49.2
202405,48.8
202406,48.9
202407,49.1
202408,48.9
202409,49.3
202410,49.3
202411,49.1
202412,49.1
