Date,Value
202001,50.4
202002,50.7
202003,51.3
202004,50.9
202005,50.5
202006,50.6
202007,50.7
202008,50.9
202009,50.6
202010,50.5
202011,51.2
202012,51.2
202101,50.9
202102,50.4
202103,50.2
202104,50.6
202105,50.7
202106,50.8
202107,50.5
202108,50.6
202109,50.7
202110,51.2
202111,50.7
202112,51.2
202201,50.6
202202,50.9
202203,50.7
202204,50.6
202205,50.8
202206,50.7
202207,50.8
202208,50.7
202209,50.6
202210,49.9
202211,50.2
202212,49.6
202301,50.8
202302,51.3
202303,51.1
202304,51.5
202305,51.2
202306,50.9
202307,50.9
202308,50.7
202309,50.8
202310,51.2
202311,50.9
202312,51.5
202401,51
202402,51
202403,51.3
202404,51.3
202405,51.8
202406,52.2
202407,52.2
202408,52.3
202409,52.3
202410,52.2
202411,52.6
202412,52.1
