Date,Value
202001,51.2
202002,51.5
202003,52
202004,51.6
202005,51.6
202006,51.8
202007,51.8
202008,52
202009,52.1
202010,52.1
202011,52.7
202012,52.8
202101,52.5
202102,52.1
202103,51.9
202104,52.3
202105,52.4
202106,52.5
202107,52.2
202108,52.2
202109,52.3
202110,52.6
202111,52.3
202112,52.5
202201,52.1
202202,52.3
202203,52.3
202204,52.3
202205,52.5
202206,52.2
202207,52.5
202208,52.6
202209,52.3
202210,52
202211,52.3
202212,52.1
202301,53
202302,53.1
202303,53.1
202304,53.2
202305,52.9
202306,52.7
202307,52.7
202308,52.3
202309,52.5
202310,52.7
202311,52.2
202312,52.5
202401,52.1
202402,52
202403,52.2
202404,52
202405,52.2
202406,52.6
202407,52.6
202408,52.6
202409,52.4
202410,52.3
202411,52.7
202412,52.2
