Date,Value
202001,65.3
202002,65.1
202003,65.7
202004,65.5
202005,64.9
202006,64.8
202007,64.8
202008,64.8
202009,64.4
202010,64.3
202011,65
202012,64.6
202101,64.3
202102,64
202103,63.7
202104,63.7
202105,63.8
202106,63.9
202107,63.7
202108,63.7
202109,63.7
202110,63.6
202111,63
202112,63.7
202201,63.5
202202,63.9
202203,63.9
202204,63.9
202205,64.3
202206,64.4
202207,64.6
202208,64.5
202209,64.5
202210,64
202211,64.5
202212,63.8
202301,64.3
202302,64.7
202303,64.7
202304,64.7
202305,64.3
202306,63.9
202307,63.9
202308,64.1
202309,64
202310,64.3
202311,64
202312,64.3
202401,63.9
202402,63.4
202403,63.5
202404,63.6
202405,64.1
202406,64.4
202407,64.5
202408,64.3
202409,64.5
202410,64.5
202411,65
202412,64.8
