Date,Value
202001,42.5
202002,44
202003,44.9
202004,44.7
202005,45
202006,45.4
202007,45.5
202008,45.9
202009,45.6
202010,45.7
202011,46.3
202012,46.8
202101,47.3
202102,46.4
202103,46.7
202104,46.8
202105,46.9
202106,47
202107,47.2
202108,47.2
202109,47.5
202110,48.4
202111,48.3
202112,48
202201,47.4
202202,48
202203,47.5
202204,47.2
202205,47.2
202206,46.8
202207,46.8
202208,46.8
202209,46.9
202210,46.7
202211,46
202212,45.2
202301,45.2
202302,45.4
202303,44.6
202304,44.8
202305,45.2
202306,45.4
202307,45.1
202308,45
202309,44.9
202310,44.7
202311,45.4
202312,46.7
202401,46.4
202402,47.3
202403,48.2
202404,48.6
202405,48.2
202406,48
202407,48.2
202408,48.1
202409,48.4
202410,48.9
202411,48.7
202412,48.3
