Date,Value
202001,60.1
202002,59.9
202003,60.5
202004,60.2
202005,59.7
202006,59.7
202007,59.8
202008,59.8
202009,59.2
202010,59.1
202011,59.8
202012,59.3
202101,59
202102,58.5
202103,58.4
202104,58.5
202105,58.5
202106,58.5
202107,58.3
202108,58.4
202109,58.4
202110,58.6
202111,58.1
202112,59
202201,58.7
202202,59
202203,58.9
202204,58.9
202205,59.3
202206,59.5
202207,59.7
202208,59.7
202209,59.7
202210,59.1
202211,59.3
202212,58.5
202301,59.3
202302,59.9
202303,59.8
202304,59.9
202305,59.7
202306,59.3
202307,59.1
202308,59.1
202309,59.2
202310,59.6
202311,59.7
202312,60
202401,59.1
202402,59
202403,59.2
202404,59.5
202405,59.8
202406,60.1
202407,60.1
202408,60.2
202409,60.2
202410,60.3
202411,60.7
202412,60.6
