Date,Value
202001,66.2
202002,66
202003,66.6
202004,66.6
202005,66.8
202006,66.9
202007,67.1
202008,67
202009,66.4
202010,66.4
202011,67.1
202012,66.9
202101,66.6
202102,66.1
202103,65.8
202104,65.7
202105,65.5
202106,65.4
202107,65.1
202108,64.9
202109,65.2
202110,65.5
202111,65.3
202112,66.2
202201,66
202202,66.2
202203,66
202204,66.4
202205,66.9
202206,67.2
202207,67.7
202208,67.9
202209,67.8
202210,67.5
202211,67.3
202212,66.5
202301,67
202302,67.5
202303,67.8
202304,67.5
202305,67.1
202306,67
202307,66.9
202308,67.2
202309,67.6
202310,67.7
202311,68
202312,68.1
202401,67.5
202402,67.8
202403,67.8
202404,68.1
202405,68.4
202406,68.5
202407,68.2
202408,68
202409,67.7
202410,68
202411,68.4
202412,68.6
