Date,Value,Anomaly
202001,52.91,-0.93
202002,53.27,-0.72
202003,53.76,-0.31
202004,53.59,-0.49
202005,53.71,-0.42
202006,53.84,-0.34
202007,53.93,-0.27
202008,54.01,-0.2
202009,53.8,-0.41
202010,53.98,-0.34
202011,54.42,0.03
202012,54.36,-0.06
202101,54.28,0.44
202102,53.82,-0.17
202103,53.77,-0.3
202104,53.85,-0.23
202105,53.81,-0.32
202106,54,-0.18
202107,53.98,-0.22
202108,53.92,-0.29
202109,54.08,-0.13
202110,54.3,-0.02
202111,54.2,-0.19
202112,54.5,0.08
202201,54.21,0.37
202202,54.47,0.48
202203,54.35,0.28
202204,54.25,0.17
202205,54.38,0.25
202206,54.23,0.05
202207,54.32,0.12
202208,54.37,0.16
202209,54.39,0.18
202210,54.24,-0.08
202211,53.9,-0.49
202212,53.38,-1.04
202301,53.71,-0.13
202302,53.93,-0.06
202303,53.63,-0.44
202304,53.68,-0.4
202305,53.72,-0.41
202306,53.57,-0.61
202307,53.51,-0.69
202308,53.49,-0.72
202309,53.47,-0.74
202310,53.54,-0.78
202311,53.81,-0.58
202312,54.36,-0.06
202401,54.1,0.26
202402,54.47,0.48
202403,54.84,0.77
202404,55.04,0.96
202405,55.03,0.9
202406,55.27,1.09
202407,55.27,1.07
202408,55.24,1.03
202409,55.31,1.1
202410,55.56,1.24
202411,55.64,1.25
202412,55.51,1.09
