Date,Value
202001,48
202002,48.3
202003,48.6
202004,48.5
202005,49.2
202006,49.3
202007,49.4
202008,49.6
202009,49.7
202010,50.5
202011,50.5
202012,50.4
202101,50.3
202102,50.4
202103,50.2
202104,50.2
202105,50.1
202106,50.6
202107,50.8
202108,50.4
202109,50.5
202110,50
202111,50.4
202112,50.7
202201,50.8
202202,50.6
202203,50.7
202204,50.7
202205,50.5
202206,50.1
202207,50.1
202208,50.2
202209,50.4
202210,50.6
202211,49.8
202212,49.5
202301,49.2
202302,49
202303,48.3
202304,48.2
202305,48.4
202306,48
202307,48
202308,47.9
202309,47.6
202310,47.6
202311,48.1
202312,48.5
202401,48.8
202402,49.5
202403,50
202404,50.3
202405,50
202406,50.7
202407,50.6
202408,50.7
202409,51
202410,51.4
202411,51
202412,51.1
