Date,Value
202001,42.6
202002,42.9
202003,43.5
202004,43.3
202005,43.4
202006,43.6
202007,43.8
202008,43.8
202009,43.9
202010,43.8
202011,44.5
202012,44.8
202101,44.6
202102,44.3
202103,44.1
202104,44.5
202105,44.5
202106,44.8
202107,44.3
202108,44.6
202109,44.7
202110,45.2
202111,44.9
202112,45
202201,44.2
202202,44.4
202203,44.4
202204,44.2
202205,44.5
202206,44.2
202207,44.4
202208,44.4
202209,44.2
202210,43.9
202211,44.3
202212,44.2
202301,45.5
202302,45.7
202303,45.6
202304,45.9
202305,45.5
202306,45.5
202307,45.7
202308,45.4
202309,45.6
202310,45.9
202311,45.5
202312,45.8
202401,45.5
202402,45.8
202403,46.1
202404,45.9
202405,46.4
202406,46.6
202407,46.7
202408,46.9
202409,46.8
202410,46.5
202411,47
202412,46.3
