Date,Value
202001,57.8
202002,57.9
202003,58.5
202004,58.1
202005,57.4
202006,57.4
202007,57.6
202008,57.6
202009,57.1
202010,57
202011,57.7
202012,57.4
202101,57.1
202102,56.6
202103,56.3
202104,56.5
202105,56.7
202106,56.7
202107,56.5
202108,56.6
202109,56.7
202110,57
202111,56.4
202112,57.1
202201,56.7
202202,57.1
202203,57.1
202204,57.1
202205,57.3
202206,57.3
202207,57.4
202208,57.3
202209,57.2
202210,56.5
202211,56.9
202212,56.2
202301,57
202302,57.5
202303,57.4
202304,57.6
202305,57.3
202306,56.9
202307,56.9
202308,56.9
202309,56.9
202310,57.3
202311,57.1
202312,57.5
202401,57
202402,56.7
202403,56.9
202404,57
202405,57.4
202406,57.9
202407,58
202408,58
202409,58
202410,57.9
202411,58.4
202412,58.1
