Date,Value
202001,46.5
202002,47.4
202003,47.6
202004,47.5
202005,47.3
202006,47.2
202007,47.3
202008,47.2
202009,47.6
202010,48
202011,48
202012,48.1
202101,48.1
202102,47.7
202103,47.9
202104,47.9
202105,47.9
202106,48.4
202107,48.8
202108,48.8
202109,48.6
202110,48.4
202111,48.6
202112,48.3
202201,48
202202,48.2
202203,48.3
202204,47.8
202205,47.5
202206,46.9
202207,46.8
202208,47.1
202209,47.4
202210,48
202211,47.4
202212,47.1
202301,47.3
202302,47.2
202303,46.8
202304,46.9
202305,47.8
202306,48
202307,47.9
202308,47.8
202309,47.5
202310,47.1
202311,47.5
202312,48.4
202401,48.1
202402,48.5
202403,48.8
202404,49
202405,48.4
202406,48.2
202407,48.4
202408,48.2
202409,48.5
202410,48.4
202411,48.5
202412,48.4
