Date,Value
202001,54.6
202002,54.6
202003,55.2
202004,54.7
202005,54.1
202006,54.1
202007,54.2
202008,54.3
202009,53.8
202010,53.6
202011,54.3
202012,54
202101,53.6
202102,53
202103,52.9
202104,53.1
202105,53.1
202106,53.2
202107,52.9
202108,53.1
202109,53.2
202110,53.5
202111,53
202112,53.6
202201,53.2
202202,53.5
202203,53.4
202204,53.4
202205,53.7
202206,53.7
202207,53.8
202208,53.6
202209,53.5
202210,52.7
202211,53
202212,52.4
202301,53.3
202302,53.8
202303,53.7
202304,54
202305,53.6
202306,53.3
202307,53.3
202308,53.2
202309,53.3
202310,53.7
202311,53.5
202312,54
202401,53.4
202402,53.3
202403,53.7
202404,53.8
202405,54.4
202406,54.8
202407,54.9
202408,55
202409,55.1
202410,55.1
202411,55.6
202412,55.2
