Date,Value
202001,42.8
202002,43.3
202003,44
202004,43.9
202005,44.1
202006,44.3
202007,44.4
202008,44.6
202009,44.2
202010,43.9
202011,44.8
202012,44.8
202101,44.7
202102,44
202103,44.2
202104,44.6
202105,44.7
202106,44.9
202107,44.7
202108,44.8
202109,45.1
202110,46.1
202111,45.7
202112,45.8
202201,44.8
202202,45.2
202203,44.6
202204,44.1
202205,44.3
202206,43.9
202207,43.9
202208,43.8
202209,43.7
202210,43.2
202211,43.3
202212,42.9
202301,44
202302,44.6
202303,44.5
202304,44.9
202305,44.8
202306,44.9
202307,44.9
202308,44.9
202309,45.1
202310,45.3
202311,45.2
202312,46.3
202401,46.1
202402,47
202403,47.5
202404,47.7
202405,47.7
202406,47.7
202407,47.7
202408,47.7
202409,47.8
202410,48
202411,48.3
202412,47.6
