Date,Value
202001,40.4
202002,40.7
202003,41.2
202004,40.9
202005,41.4
202006,41.7
202007,41.7
202008,41.9
202009,41.8
202010,42.4
202011,42.7
202012,42.8
202101,42.7
202102,42.5
202103,42.4
202104,42.5
202105,42.3
202106,42.8
202107,43.1
202108,42.8
202109,43
202110,43.2
202111,43.5
202112,43.6
202201,43.6
202202,43.9
202203,43.9
202204,43.7
202205,43.6
202206,43.1
202207,43
202208,43.3
202209,43.4
202210,43.5
202211,42.5
202212,42
202301,41.6
202302,41.5
202303,40.8
202304,40.8
202305,41.3
202306,41.2
202307,40.9
202308,40.7
202309,40.5
202310,40.4
202311,41.1
202312,41.8
202401,41.8
202402,42.5
202403,43.3
202404,43.7
202405,43.2
202406,43.6
202407,43.7
202408,43.7
202409,43.9
202410,44.4
202411,44.2
202412,44.3
