city,date,temperature,feels_like,humidity,wind_speed,weather,source
New York,2025-05-02,25.85,25.87,53,6.69,Clouds,current
New York,2025-05-03,19.34,19.29,75,3.28,Clouds,forecast
New York,2025-05-04,16.92,16.76,80,4.88,Clouds,forecast
New York,2025-05-05,15.32,15.36,94,3.81,Clouds,forecast
New York,2025-05-06,14.45,14.46,96,5.09,Rain,forecast
Los Angeles,2025-05-02,19.78,19.56,67,6.69,Clouds,current
Los Angeles,2025-05-03,15.63,15.23,76,2.97,Clouds,forecast
Los Angeles,2025-05-04,12.35,11.34,65,5.28,Clouds,forecast
Los Angeles,2025-05-05,13.79,13.13,73,3.56,Clouds,forecast
Los Angeles,2025-05-06,13.6,13.05,78,1.01,Clouds,forecast
Chicago,2025-05-02,11.32,10.39,72,5.14,Clouds,current
Chicago,2025-05-03,4.52,0.71,88,5.05,Rain,forecast
Chicago,2025-05-04,6.2,3.03,85,4.59,Clouds,forecast
Chicago,2025-05-05,7.36,4.32,94,4.93,Rain,forecast
Chicago,2025-05-06,7.59,6.01,93,2.45,Clouds,forecast
Houston,2025-05-02,26.59,26.59,74,7.72,Clouds,current
Houston,2025-05-03,19.23,19.53,89,2.77,Rain,forecast
Houston,2025-05-04,16.8,16.21,64,2.53,Clear,forecast
Houston,2025-05-05,19.49,19.43,74,3.68,Clouds,forecast
Houston,2025-05-06,23.5,24.2,88,4.74,Rain,forecast
Phoenix,2025-05-02,33.49,31.06,13,3.09,Clouds,current
Phoenix,2025-05-03,18.09,16.61,25,1.57,Clear,forecast
Phoenix,2025-05-04,20.5,19.68,41,5.12,Clouds,forecast
Phoenix,2025-05-05,15.34,14.08,44,4.17,Clouds,forecast
Phoenix,2025-05-06,17.89,16.88,44,4.02,Clouds,forecast
Philadelphia,2025-05-02,28.67,28.54,43,5.14,Clouds,current
Philadelphia,2025-05-03,20.37,20.37,73,4.8,Clouds,forecast
Philadelphia,2025-05-04,18.55,18.55,80,4.39,Clouds,forecast
Philadelphia,2025-05-05,15.87,16.05,97,2.93,Rain,forecast
Philadelphia,2025-05-06,15.43,15.54,96,3.68,Rain,forecast
San Antonio,2025-05-02,29.7,31.73,57,3.09,Clouds,current
San Antonio,2025-05-03,18.36,18.6,90,5.57,Rain,forecast
San Antonio,2025-05-04,15.16,14.56,70,4.33,Clear,forecast
San Antonio,2025-05-05,20.24,20.64,89,3.72,Clouds,forecast
San Antonio,2025-05-06,23.31,24.12,93,5.47,Rain,forecast
San Diego,2025-05-02,19.42,19.25,70,7.72,Clouds,current
San Diego,2025-05-03,16.82,16.52,75,1.49,Clouds,forecast
San Diego,2025-05-04,12.77,11.93,70,5.93,Rain,forecast
San Diego,2025-05-05,14.16,13.69,79,3.46,Rain,forecast
San Diego,2025-05-06,15.31,14.8,73,1.97,Rain,forecast
Dallas,2025-05-02,17.91,18.13,91,4.12,Rain,current
Dallas,2025-05-03,13.61,12.72,65,3.24,Clear,forecast
Dallas,2025-05-04,13.85,13.09,69,1.61,Clear,forecast
Dallas,2025-05-05,14.55,13.86,69,2.86,Clouds,forecast
Dallas,2025-05-06,19.4,19.95,98,5.41,Rain,forecast
San Jose,2025-05-02,20.69,20.28,56,5.66,Clouds,current
San Jose,2025-05-03,12.13,11.77,91,2.21,Clouds,forecast
San Jose,2025-05-04,7.8,7.8,91,0.47,Clouds,forecast
San Jose,2025-05-05,11.5,10.4,65,0.68,Clear,forecast
San Jose,2025-05-06,11.29,10.72,86,2.93,Clouds,forecast
